temp_2010,temp_2011,temp_2012,temp_2013,temp_2014,temp_2015,temp_2016,temp_2017,temp_2018,temp_2019
-25.575,-16.254166666666666,-6.379166666666666,-14.986956521739131,-27.6625,-14.870833333333334,-6.0125,-9.8125,-20.85,-21.158333333333335
-26.0625,-18.395833333333332,-12.925,-11.283333333333333,-26.108333333333334,-15.791666666666666,-4.375,-14.4875,-17.516666666666666,-11.395833333333334
-20.566666666666666,-19.458333333333332,-5.791666666666667,-9.266666666666667,-14.720833333333333,-23.366666666666667,-7.216666666666667,-19.9,-22.416666666666668,0.9291666666666667
-16.7875,-14.625,-1.8208333333333333,-6.470833333333333,-21.8,-27.34166666666667,-8.395833333333334,-23.483333333333334,-23.675,-2.0833333333333335
-14.316666666666666,-16.170833333333334,2.283333333333333,-13.041666666666666,-29.6875,-22.35,-7.631818181818182,-22.520833333333332,-23.233333333333334,-5.658333333333333
-15.304166666666667,-18.7,-1.9541666666666666,-9.966666666666667,-28.229166666666668,-19.045833333333334,-11.634782608695652,-17.9375,-15.091666666666667,-8.283333333333333
-22.941666666666666,-15.095833333333333,-5.429166666666666,-3.1666666666666665,-23.7875,-21.620833333333334,-9.920833333333333,-18.53333333333333,-5.066666666666666,-1.7583333333333333
-20.883333333333333,-13.904166666666667,-2.8583333333333334,-3.9125,-24.395833333333332,-17.15833333333333,-14.520833333333334,-19.295833333333334,-8.2,-11.683333333333334
-19.9625,-16.191666666666666,1.6083333333333334,-4.533333333333333,-10.9,-18.558333333333334,-22.975,-18.879166666666666,-5.520833333333333,-16.504166666666666
-11.558333333333334,-14.1875,2.779166666666667,-0.9416666666666667,-6.829166666666667,-20.40416666666667,-24.345833333333335,-17.158333333333335,-9.383333333333333,-11.745833333333334
-11.708333333333334,-13.266666666666667,-13.404166666666667,-10.166666666666666,-6.870833333333334,-20.854166666666668,-22.325,-22.358333333333334,-22.566666666666666,-9.820833333333333
-7.541666666666667,-14.8125,-18.104166666666668,-19.1,-2.5833333333333335,-23.166666666666668,-21.591666666666665,-22.008333333333333,-22.979166666666668,-8.158333333333333
-4.4375,-11.179166666666667,-17.3875,-19.7125,-12.458333333333334,-17.54090909090909,-20.18695652173913,-24.366666666666667,-22.4875,-5.783333333333333
-6.304166666666667,-14.204166666666666,-10.258333333333333,-18.2625,-14.629166666666666,-7.8875,-18.8625,-16.104166666666668,-18.1125,-9.145833333333334
-2.529166666666667,-21.40416666666667,-5.466666666666667,-14.604166666666666,-11.266666666666667,-8.370833333333334,-20.5125,-11.633333333333333,-24.4,-12.4625
0.058333333333333286,-18.445833333333333,-16.920833333333334,-19.15,-16.095833333333335,-13.591666666666667,-24.141666666666666,-9.645833333333334,-18.354166666666668,-21.379166666666666
-1.9666666666666668,-18.325,-24.25,-20.108333333333334,-17.920833333333334,-1.8916666666666666,-23.191666666666666,-8.108333333333333,-6.195833333333334,-18.379166666666666
-4.841666666666667,-25.166666666666668,-25.058333333333334,-15.2125,-9.0125,-9.0125,-18.945833333333333,-2.3541666666666665,-5.029166666666667,-25.891666666666666
-7.75,-18.370833333333334,-24.229166666666668,-17.475,-11.995833333333334,-6.441666666666666,-17.8125,-1.6,1.5,-26.491666666666667
-5.079166666666667,-23.991666666666667,-20.808333333333334,-23.691666666666666,-23.870833333333334,-5.7125,-10.816666666666666,1.725,-4.054166666666666,-26.283333333333335
-5.754166666666666,-24.258333333333333,-16.8,-26.133333333333333,-20.4875,-12.754166666666666,-12.945833333333333,1.6,-7.525,-14.725
-1.3958333333333333,-25.2375,-7.766666666666667,-24.433333333333334,-24.175,-3.5416666666666665,-13.125,0.9875,-5.270833333333333,-10.870833333333334
0.44166666666666665,-16.8625,-11.141666666666667,-24.470833333333335,-21.40416666666667,3.2666666666666666,-6.708333333333333,-0.95,-5.9625,-11.725
-1.7958333333333334,-13.191666666666666,-11.475,-24.175,-6.879166666666666,-6.441666666666666,-7.645833333333333,-3.475,-8.333333333333334,-23.866666666666667
-13.941666666666666,-9.075,-3.654166666666667,-21.770833333333332,-19.7875,-8.0125,-5.558333333333334,-6.408333333333333,-6.666666666666667,-26.441666666666666
-17.583333333333332,-11.358333333333333,-0.25833333333333336,-17.9375,-21.4,-1.625,-5.0875,-8.220833333333333,-3.8333333333333335,-25.383333333333333
-17.983333333333334,-10.270833333333334,-3.9,-13.45,-26.629166666666666,-2.720833333333333,-2.727272727272727,-5.054166666666667,-14.320833333333333,-23.875
-18.6375,-6.583333333333333,-8.770833333333334,-9.65,-22.454166666666666,-2.2125,-11.947826086956521,-5.679166666666666,-20.8125,-19.625
-19.683333333333334,-17.429166666666667,-13.791666666666668,-9.775,-16.3125,-14.570833333333333,-0.9791666666666666,-10.775,-19.408333333333335,-31.879166666666666
-19.05,-26.366666666666667,-6.7625,-16.804166666666667,-21.079166666666666,-11.7875,1.0041666666666667,-4.0625,-12.054166666666667,-32.3125
-19.2625,-22.5375,-4.6875,-25.045833333333334,-19.829166666666666,-21.5625,-6.858333333333333,-7.716666666666667,-17.820833333333333,-26.59166666666667
-20.2125,-21.041666666666668,-5.0875,-26.65416666666667,-19.554166666666667,-22.983333333333334,-8.6625,-17.091666666666665,-22.120833333333334,-15.745833333333334
-15.95,-17.879166666666666,-6.9875,-22.2125,-16.695833333333333,-15.516666666666666,-9.8,-16.325,-20.4375,-15.616666666666667
-13.225,-4.7875,-6.75,-17.525,-14.708333333333334,-15.354166666666666,-10.391666666666667,-13.654166666666667,-22.366666666666667,-20.3625
